Ensembl	Gene	DNARegion
ENSG00000000003	TSPAN6	X:99883667-99894988
ENSG00000000419	DPM1	20:49551404-49575092
ENSG00000000457	SCYL3	1:169818772-169863408
ENSG00000000460	C1orf112	1:169631245-169823221
ENSG00000000938	FGR	1:27938575-27961788
ENSG00000000971	CFH	1:196621008-196716634
ENSG00000001036	FUCA2	6:143815948-143832827
ENSG00000001084	GCLC	6:53362139-53481768
ENSG00000001167	NFYA	6:41040684-41067715
ENSG00000001460	STPG1	1:24683489-24743424
ENSG00000001461	NIPAL3	1:24742284-24799466
ENSG00000001497	LAS1L	X:64732462-64754655
ENSG00000001561	ENPP4	6:46097730-46114436
ENSG00000001617	SEMA3F	3:50192478-50226508
ENSG00000001626	CFTR	7:117105838-117356025
ENSG00000001629	ANKIB1	7:91875548-92030698
ENSG00000001630	CYP51A1	7:91741465-91772266
ENSG00000001631	KRIT1	7:91828283-91875480
ENSG00000002016	RAD52	12:1021243-1099219
ENSG00000002079	MYH16	7:98836417-98908753
ENSG00000002330	BAD	11:64037302-64052176
ENSG00000002549	LAP3	4:17578815-17609595
ENSG00000002586	CD99	X:2609220-2659350
ENSG00000002587	HS3ST1	4:11394774-11431389
ENSG00000002745	WNT16	7:120965421-120981158
ENSG00000002746	HECW1	7:43152198-43605600
ENSG00000002822	MAD1L1	7:1855429-2272878
ENSG00000002834	LASP1	17:37026112-37078023
ENSG00000002919	SNX11	17:46180719-46200436
ENSG00000003056	M6PR	12:9092959-9102551
ENSG00000003096	KLHL13	X:117031776-117251303
ENSG00000003137	CYP26B1	2:72356367-72375167
ENSG00000003147	ICA1	7:8152814-8302317
ENSG00000003249	DBNDD1	16:90071273-90086536
ENSG00000003393	ALS2	2:202565277-202645912
ENSG00000003400	CASP10	2:202047604-202094129
ENSG00000003402	CFLAR	2:201980827-202041410
ENSG00000003436	TFPI	2:188328957-188430487
ENSG00000003509	NDUFAF7	2:37458774-37480546
ENSG00000003756	RBM5	3:50126341-50156454
ENSG00000003987	MTMR7	8:17155539-17271037
ENSG00000004059	ARF5	7:127228399-127231759
ENSG00000004139	SARM1	17:26691378-26728065
ENSG00000004142	POLDIP2	17:26673659-26684545
ENSG00000004399	PLXND1	3:129274018-129325661
ENSG00000004455	AK2	1:33473585-33546597
ENSG00000004468	CD38	4:15779898-15854853
ENSG00000004478	FKBP4	12:2904119-2914576
ENSG00000004487	KDM1A	1:23345941-23410182
ENSG00000004534	RBM6	3:49977440-50137478
ENSG00000004660	CAMKK1	17:3763609-3798185
ENSG00000004700	RECQL	12:21621845-21654603
ENSG00000004766	CCDC132	7:92861653-92988338
ENSG00000004776	HSPB6	19:36245469-36248980
ENSG00000004777	ARHGAP33	19:36265434-36279724
ENSG00000004779	NDUFAB1	16:23592323-23607677
ENSG00000004799	PDK4	7:95212811-95225803
ENSG00000004809	SLC22A16	6:110745890-110797844
ENSG00000004838	ZMYND10	3:50378541-50384283
ENSG00000004846	ABCB5	7:20654830-20816658
ENSG00000004848	ARX	X:25021811-25034065
ENSG00000004864	SLC25A13	7:95749532-95951459
ENSG00000004866	ST7	7:116593292-116870157
ENSG00000004897	CDC27	17:45195069-45266788
ENSG00000004939	SLC4A1	17:42325753-42345509
ENSG00000004961	HCCS	X:11129421-11141198
ENSG00000004975	DVL2	17:7128660-7137864
ENSG00000005001	PRSS22	16:2902728-2908171
ENSG00000005007	UPF1	19:18942747-18979045
ENSG00000005020	SKAP2	7:26706681-27034858
ENSG00000005022	SLC25A5	X:118602363-118605282
ENSG00000005059	CCDC109B	4:110481361-110609874
ENSG00000005073	HOXA11	7:27221129-27224842
ENSG00000005075	POLR2J	7:102113565-102119354
ENSG00000005100	DHX33	17:5344232-5372380
ENSG00000005102	MEOX1	17:41717756-41739322
ENSG00000005108	THSD7A	7:11409984-11871824
ENSG00000005156	LIG3	17:33307513-33332083
ENSG00000005175	RPAP3	12:48057070-48099844
ENSG00000005187	ACSM3	16:20621565-20808903
ENSG00000005189	AC004381.6	16:20817751-20860987
ENSG00000005194	CIAPIN1	16:57462081-57481440
ENSG00000005206	SPPL2B	19:2328614-2355099
ENSG00000005238	FAM214B	9:35104109-35116338
ENSG00000005243	COPZ2	17:46103533-46115392
ENSG00000005249	PRKAR2B	7:106685094-106802256
ENSG00000005302	MSL3	X:11776278-11793870
ENSG00000005339	CREBBP	16:3775055-3930727
ENSG00000005379	BZRAP1	17:56378592-56406152
ENSG00000005381	MPO	17:56347217-56358296
ENSG00000005421	PON1	7:94926988-95025673
ENSG00000005436	GCFC2	2:75879126-75938115
ENSG00000005448	WDR54	2:74648805-74652882
ENSG00000005469	CROT	7:86974997-87029111
ENSG00000005471	ABCB4	7:87031013-87109751
ENSG00000005483	KMT2E	7:104654626-104754808
ENSG00000005486	RHBDD2	7:75471920-75518244
ENSG00000005513	SOX8	16:1031808-1036979
ENSG00000005700	IBTK	6:82879700-82957471
ENSG00000005801	ZNF195	11:3360491-3400448
ENSG00000005810	MYCBP2	13:77618792-77901185
ENSG00000005812	FBXL3	13:77566740-77601330
ENSG00000005844	ITGAL	16:30483979-30534506
ENSG00000005882	PDK2	17:48172101-48189516
ENSG00000005884	ITGA3	17:48133332-48167845
ENSG00000005889	ZFX	X:24167290-24234372
ENSG00000005893	LAMP2	X:119561682-119603220
ENSG00000005955	GGNBP2	17:34900737-34946278
ENSG00000005961	ITGA2B	17:42449548-42466873
ENSG00000005981	ASB4	7:95107756-95169544
ENSG00000006007	GDE1	16:19513015-19533467
ENSG00000006015	C19orf60	19:18699495-18703146
ENSG00000006016	CRLF1	19:18683030-18718551
ENSG00000006025	OSBPL7	17:45884738-45899200
ENSG00000006042	TMEM98	17:31254928-31272124
ENSG00000006047	YBX2	17:7191571-7197934
ENSG00000006062	MAP3K14	17:43340488-43394414
ENSG00000006071	ABCC8	11:17414432-17498449
ENSG00000006075	CCL3	17:34415602-34417515
ENSG00000006114	SYNRG	17:35874900-35969544
ENSG00000006116	CACNG3	16:24266874-24374122
ENSG00000006118	TMEM132A	11:60691935-60704631
ENSG00000006125	AP2B1	17:33905065-34053436
ENSG00000006128	TAC1	7:97361220-97369784
ENSG00000006194	ZNF263	16:3313743-3351401
ENSG00000006210	CX3CL1	16:57406370-57418960
ENSG00000006282	SPATA20	17:48620419-48633213
ENSG00000006283	CACNA1G	17:48638429-48704835
ENSG00000006327	TNFRSF12A	16:3068446-3072384
ENSG00000006377	DLX6	7:96634860-96640351
ENSG00000006432	MAP3K9	14:71189243-71276251
ENSG00000006451	RALA	7:39663082-39747723
ENSG00000006453	BAIAP2L1	7:97920963-98030380
ENSG00000006459	KDM7A	7:139784546-139876835
ENSG00000006530	AGK	7:141250989-141355044
ENSG00000006534	ALDH3B1	11:67776048-67796744
ENSG00000006555	TTC22	1:55245385-55266940
ENSG00000006576	PHTF2	7:77428122-77586818
ENSG00000006606	CCL26	7:75398851-75419214
ENSG00000006607	FARP2	2:242295658-242434256
ENSG00000006611	USH1C	11:17515442-17565963
ENSG00000006625	GGCT	7:30536237-30591095
